"year","site","prcp_mm_Apr","prcp_mm_May","prcp_mm_Jun","prcp_mm_Jul","prcp_mm_Aug","prcp_mm_Sep","prcp_mm_Oct","prcp_mm_Nov","prcp_mm_Dec","prcp_mm_Mar","tmax_deg_c_mean_Apr","tmax_deg_c_mean_May","tmax_deg_c_mean_Jun","tmax_deg_c_mean_Jul","tmax_deg_c_mean_Aug","tmax_deg_c_mean_Sep","tmax_deg_c_mean_Oct","tmax_deg_c_mean_Nov","tmax_deg_c_mean_Dec","tmax_deg_c_mean_Mar","tmin_deg_c_mean_Apr","tmin_deg_c_mean_May","tmin_deg_c_mean_Jun","tmin_deg_c_mean_Jul","tmin_deg_c_mean_Aug","tmin_deg_c_mean_Sep","tmin_deg_c_mean_Oct","tmin_deg_c_mean_Nov","tmin_deg_c_mean_Dec","tmin_deg_c_mean_Mar","srad_w_m_2_mean_Apr","srad_w_m_2_mean_May","srad_w_m_2_mean_Jun","srad_w_m_2_mean_Jul","srad_w_m_2_mean_Aug","srad_w_m_2_mean_Sep","srad_w_m_2_mean_Oct","srad_w_m_2_mean_Nov","srad_w_m_2_mean_Dec","srad_w_m_2_mean_Mar","gdd_Apr","gdd_May","gdd_Jun","gdd_Jul","gdd_Aug","gdd_Sep","gdd_Oct","gdd_Nov","gdd_Dec","gdd_Mar"
2015,"DEH1",5.98,35.32,190.6,112.49,96.7,36.78,NA,NA,NA,NA,22.075,25.6941935483871,28.0196666666667,29.8422580645161,29.5506451612903,29.2992857142857,NA,NA,NA,NA,8.58,14.1048387096774,18.7703333333333,20.3745161290323,18.6574193548387,18.8942857142857,NA,NA,NA,NA,411.18,407.452258064516,340.616666666667,369.982903225806,378.768709677419,335.943571428571,NA,NA,NA,NA,12.075,313.165,391.73,457.165,429.26,190.1,NA,NA,NA,NA
2015,"GAH1",137.85,31.89,140.91,144.17,76.84,NA,NA,NA,NA,NA,25.7483333333333,30.4516129032258,32.6356666666667,33.6458064516129,32.6874769230769,NA,NA,NA,NA,NA,15.661,16.6377419354839,21.2106666666667,22.1609677419355,22.3126615384615,NA,NA,NA,NA,NA,346.834333333333,466.083548387097,359.472666666667,379.334193548387,367.026276923077,NA,NA,NA,NA,NA,319.885,401.955,467.195,498.13,411.965,NA,NA,NA,NA,NA
2015,"IAH1",NA,127.71,204.58,193.15,257.17,122.31,0,NA,NA,NA,NA,21.04,26.1946666666667,27.5935483870968,25.8825806451613,26.288,19.4430555555556,NA,NA,NA,NA,10.37,15.3706666666667,16.7803225806452,14.9745161290323,13.955,6.78201388888889,NA,NA,NA,NA,340.976666666667,369.735333333333,374.058064516129,364.252903225806,335.545,322.916597222222,NA,NA,NA,NA,196.145,321.055,372.17,324.075,308.09,41.6525,NA,NA,NA
2015,"IAH3",0,119.22,233.5,121.65,102.44,105.68,0,NA,NA,NA,19.39,21.2745161290323,25.8833333333333,27.4164516129032,25.8638709677419,26.32,17.27,NA,NA,NA,3.12,10.1448387096774,14.879,16.4403225806452,14.2709677419355,13.5683333333333,4.19,NA,NA,NA,479.55,335.175483870968,365.32,388.906451612903,377.672258064516,340.645,344.7,NA,NA,NA,4.695,207.305,311.59,364.965,313.75,304.95,3.635,NA,NA,NA
2015,"IAH4",NA,142.61,192.03,200.73,90.02,89.3,NA,NA,NA,NA,NA,22.5870967741935,26.9003333333333,28.3183870967742,27.1851612903226,27.725,NA,NA,NA,NA,NA,10.9332258064516,15.8706666666667,17.591935483871,15.3958064516129,14.8667857142857,NA,NA,NA,NA,NA,338.220322580645,361.327,379.172258064516,388.471612903226,342.010714285714,NA,NA,NA,NA,NA,235.29,339.975,394.21,347.38,313.5,NA,NA,NA,NA
2015,"ILH1",0,147.27,242.99,92.54,80,161.46,0,NA,NA,NA,15.66,24.6267741935484,27.042,28.0167741935484,27.7303225806452,27.5446666666667,19.305,NA,NA,NA,3.86,12.7883870967742,17.0313333333333,17.4654838709677,15.6774193548387,14.3016666666667,7.245,NA,NA,NA,422.15,362.229677419355,351.448,404.175806451613,398.26064516129,338.054,325.98,NA,NA,NA,2.83,284.985,358.605,389.69,360.605,321.295,9.305,NA,NA,NA
2015,"INH1",NA,60.01,241.09,164.84,39.72,72.8,2.38,NA,NA,NA,NA,24.03,26.513,27.5477419354839,27.3967741935484,26.888,20.5555714285714,NA,NA,NA,NA,12.3344444444444,16.1676666666667,16.7070967741935,15.0654838709677,13.6393333333333,7.88028571428571,NA,NA,NA,NA,365.859444444444,346.653333333333,404.032258064516,389.605806451613,349.571333333333,303.857476190476,NA,NA,NA,NA,157.485,339.535,373.13,346.705,307.105,78.7,NA,NA,NA
2015,"KSH1",20.45,268.51,141.53,150.35,90.72,65.46,NA,NA,NA,NA,19.15125,22.3790322580645,30.1276666666667,31.4048387096774,30.0274193548387,30.2452380952381,NA,NA,NA,NA,5.96125,11.2722580645161,18.0306666666667,19.9806451612903,16.8716129032258,17.4619047619048,NA,NA,NA,NA,404.93375,345.557419354839,394.439666666667,359.484516129032,390.981290322581,345.701428571429,NA,NA,NA,NA,37.045,230.24,396.44,448.005,399.315,271.12,NA,NA,NA,NA
2015,"MNH1",NA,60.35,175.91,167.96,135.3,132.2,37.63,0.47,NA,NA,NA,20.12,25.625,27.2235483870968,25.4567741935484,25.0143333333333,16.5958064516129,15.575,NA,NA,NA,9.01307692307692,14.2653333333333,15.7758064516129,14.2458064516129,13.5073333333333,3.98774193548387,3.357,NA,NA,NA,366.362307692308,371.730666666667,378.659677419355,349.413225806452,308.504666666667,255.541290322581,210.478,NA,NA,NA,75.48,298.585,354.85,307.755,287.315,106.275,29.435,NA,NA
2015,"MOH1",NA,153.05,180.8,219.32,103.32,27.64,0,NA,NA,NA,NA,23.0171428571429,27.731,29.4877419354839,28.6409677419355,28.125,18.8031666666667,NA,NA,NA,NA,13.5478571428571,18.4413333333333,19.9535483870968,17.6845161290323,15.8936666666667,7.6995,NA,NA,NA,NA,329.848214285714,358.421333333333,375.617741935484,383.355806451613,351.584666666667,323.8165,NA,NA,NA,NA,240.745,385.235,437.71,400.74,352.62,24.85,NA,NA,NA
